     Seg_#     Arr_time     Del_Time    Stall_Dur    Rep_Level     Del_Rate     Act_Rate    Byte_Size   Buff_Level      Algorithm   Seg_Dur   Codec   Width   Height     FPS   Play_Pos        RTT   Seg_Repl   Protocol     P.1203       Clae     Duanmu            Yin             Yu
         1          167          166            0           45         1566           43        32510         6000           bba2      6000    h264     320      240      24          0     42.805   no   HTTP/3.0      0.000      0.000     40.519     -17954.486          0.046
         2          347          179            0           45         1663           49        37224        12000           bba2      6000    h264     320      240      24       6000     43.184   no   HTTP/3.0      0.000      0.237     26.719     -35908.972          0.046
         3          662          313            0           89         1730           90        67703        17685           bba2      6000    h264     320      240      24      12000     43.266   no   HTTP/3.0      0.000      0.214     26.851        136.542          0.060
         4         1015          351            0          128         1743          102        76510        23333           bba2      6000    h264     320      240      24      18000     43.957   no   HTTP/3.0      0.000      0.214     26.969        225.578          0.077
         5         1623          607            0          176         1828          185       138752        28725           bba2      6000    h264     480      360      24      24000     44.056   no   HTTP/3.0      0.000      0.214     27.110        353.834          0.097
         6         2370          745            0          217         1840          228       171438        33979           bba2      6000    h264     480      360      24      30000     44.732   no   HTTP/3.0      0.000      0.219     27.250        530.661          0.117
         7         3337          966            0          255         1857          299       224351        39012           bba2      6000    h264     480      360      24      36000     44.254   no   HTTP/3.0      0.000      0.227     27.387        748.312          0.137
         8         4570         1231            0          320         1855          380       285538        43780           bba2      6000    h264     480      360      24      42000     43.766   no   HTTP/3.0      0.000      0.230     27.551       1003.481          0.160
         9         6122         1550            0          373         1853          478       359129        48229           bba2      6000    h264     480      360      24      48000     43.895   no   HTTP/3.0      0.000      0.234     27.718       1324.045          0.184
        10         7407         1284            0          506         1870          400       300159        52944           bba2      6000    h264     854      480      24      54000     43.853   no   HTTP/3.0      0.000      0.224     27.951       1697.980          0.216
        11         8956         1547            0          573         1873          483       362319        57396           bba2      6000    h264     854      480      24      60000     43.961   no   HTTP/3.0      0.000      0.223     28.180       2204.280          0.248
        12        40327        31370            0          779          152          794       596148        32025           bba2      6000    h264    1280      720      24      66000     44.087   no   HTTP/3.0      0.000      0.200     28.500       2777.532          0.293
        13        46677         6347            0         1006          951         1006       755233        31676           bba2      6000    h264    1280      720      24      72000     44.180   no   HTTP/3.0      0.000      0.165     28.894       3557.328          0.348
        14        81608        34929         3254         1201          246         1434      1076065         6000           bba2      6000    h264    1280      720      24      78000     44.315   no   HTTP/3.0      0.000      0.135     31.684      14326.071        -20.121
        15        83468         1857            0         1006         1858          575       431348        10140           bba2      6000    h264    1280      720      24      84000     45.691   no   HTTP/3.0      0.000      0.161     31.914      15138.131        -20.120
        16        85397         1928            0          779         1878          603       452666        14211           bba2      6000    h264    1280      720      24      90000     44.522   no   HTTP/3.0      0.000      0.198     29.763       5928.980          0.469
