     Seg_#     Arr_time     Del_Time    Stall_Dur    Rep_Level     Del_Rate     Act_Rate    Byte_Size   Buff_Level      Algorithm   Seg_Dur   Codec   Width   Height     FPS   Play_Pos        RTT   Seg_Repl   Protocol     P.1203       Clae     Duanmu            Yin             Yu
         1          138          138            0           45         1168           40        20153         4000           bba2      4000    h264     320      240      24          0     41.213   no   HTTP/3.0      0.000      0.000     45.121     -11954.209          0.046
         2          278          138            0           45         1424           49        24566         8000           bba2      4000    h264     320      240      24       4000     43.142   no   HTTP/3.0      0.000      0.234     35.921     -23908.418          0.046
         3          505          226            0           89         1717           97        48522        11773           bba2      4000    h264     320      240      24       8000     42.541   no   HTTP/3.0      0.000      0.212     36.054        137.373          0.060
         4          835          328            0          129         1764          144        72355        15444           bba2      4000    h264     320      240      24      12000     44.112   no   HTTP/3.0      0.000      0.212     36.173        227.262          0.078
         5         1274          437            0          179         1799          196        98318        19005           bba2      4000    h264     480      360      24      16000     43.116   no   HTTP/3.0      0.000      0.212     36.317        356.688          0.098
         6         1775          498            0          220         1814          225       112982        22505           bba2      4000    h264     480      360      24      20000     44.343   no   HTTP/3.0      0.000      0.217     36.460        535.807          0.118
         7         2386          609            0          259         1719          261       130859        25895           bba2      4000    h264     480      360      24      24000     44.473   no   HTTP/3.0      0.000      0.224     36.600        756.550          0.139
         8         3226          838            0          323         1852          388       194036        29055           bba2      4000    h264     480      360      24      28000     44.394   no   HTTP/3.0      0.000      0.227     36.764       1015.729          0.162
         9         4303         1076            0          375         1862          501       250537        31979           bba2      4000    h264     480      360      24      32000     43.178   no   HTTP/3.0      0.000      0.232     36.931       1339.202          0.185
        10         5530         1225            0          516         1818          556       278487        34752           bba2      4000    h264     854      480      24      36000     44.190   no   HTTP/3.0      0.000      0.221     37.171       1715.054          0.219
        11         7009         1477            0          582         1857          685       342862        37274           bba2      4000    h264     854      480      24      40000     44.238   no   HTTP/3.0      0.000      0.220     37.404       2231.710          0.252
        12         8888         1877            0          792         1880          882       441159        39395           bba2      4000    h264    1280      720      24      44000     44.115   no   HTTP/3.0      0.000      0.198     37.730       2814.467          0.297
        13        40362        31472            0         1016          153         1209       604895        11921           bba2      4000    h264    1280      720      24      48000     44.557   no   HTTP/3.0      0.000      0.166     38.126       3606.956          0.352
        14        43925         3559            0          792          951          846       423291        12359           bba2      4000    h264    1280      720      24      52000     42.275   no   HTTP/3.0      0.000      0.191     38.354       4175.917          0.384
        15        46867         2940            0          582          945          694       347377        13418           bba2      4000    h264     854      480      24      56000     42.191   no   HTTP/3.0      0.000      0.221     38.453       4548.942          0.397
        16        49386         2517            0          516          951          598       299222        14899           bba2      4000    h264     854      480      24      60000     42.673   no   HTTP/3.0      0.000      0.246     38.504       4999.497          0.404
        17        59933        10544            0          375          120          316       158305         8353           bba2      4000    h264     480      360      24      64000     42.013   no   HTTP/3.0      0.000      0.259     38.494       5234.545          0.403
        18        74621        14685         6334          323           95          349       174589         4000           bba2      4000    h264     480      360      24      68000    126.490   no   HTTP/3.0      0.000      0.266     43.723      24507.639        -19.832
        19        80456         5833         1835          259          192          280       140256         4000           bba2      4000    h264     480      360      24      72000    120.872   no   HTTP/3.0      0.000      0.265     44.818      30207.524        -19.797
        20        81001          544            0          220         1822          247       123964         7455           bba2      4000    h264     480      360      24      76000     42.563   no   HTTP/3.0      0.000      0.261     39.775      11387.831        -20.529
        21        81428          425            0          179         1794          190        95345        11029           bba2      4000    h264     480      360      24      80000     44.100   no   HTTP/3.0      0.000      0.252     38.276       6020.326          0.373
        22        81758          328            0          129         1766          144        72436        14700           bba2      4000    h264     320      240      24      84000     43.345   no   HTTP/3.0      0.000      0.239     38.197       6100.059          0.362
        23        82089          329            0          179         1764          145        72578        18369           bba2      4000    h264     480      360      24      88000     44.356   no   HTTP/3.0      0.000      0.233     38.140       6229.485          0.354
        24        82626          537            0          220         1700          228       114167        21832           bba2      4000    h264     480      360      24      92000     43.577   no   HTTP/3.0      0.000      0.233     38.099       6408.604          0.348
        25        83284          656            0          259         1834          300       150437        25174           bba2      4000    h264     480      360      24      96000     44.019   no   HTTP/3.0      0.000      0.236     38.073       6629.347          0.345
