     Seg_#     Arr_time     Del_Time    Stall_Dur    Rep_Level     Del_Rate     Act_Rate    Byte_Size   Buff_Level      Algorithm   Seg_Dur   Codec   Width   Height     FPS   Play_Pos        RTT   Seg_Repl   Protocol     P.1203       Clae     Duanmu            Yin             Yu
         1          169          168            0           46         1605           44        33717         6000           bba2      6000    h264     320      240      25          0     42.551   no   HTTP/3.0      0.000      0.000     40.528     -17953.119          0.047
         2          289          118            0           46         1556           30        22954        12000           bba2      6000    h264     320      240      25       6000     42.870   no   HTTP/3.0      0.000      0.241     26.728     -35906.238          0.047
         3          614          325            0           92         1743           94        70826        17675           bba2      6000    h264     320      240      25      12000     41.227   no   HTTP/3.0      0.000      0.217     26.866        140.643          0.062
         4         1137          520            0          137         1718          148       111702        23153           bba2      6000    h264     320      240      25      18000     44.261   no   HTTP/3.0      0.000      0.215     26.999        232.953          0.081
         5         1781          643            0          186         1840          197       147916        28509           bba2      6000    h264     480      360      25      24000     41.961   no   HTTP/3.0      0.000      0.216     27.147        370.749          0.102
         6         2579          796            0          232         1850          245       184119        33712           bba2      6000    h264     480      360      25      30000     41.885   no   HTTP/3.0      0.000      0.222     27.299        557.025          0.124
         7         3524          944            0          277         1854          291       218825        38767           bba2      6000    h264     480      360      25      36000     44.623   no   HTTP/3.0      0.000      0.229     27.452        789.428          0.146
         8         4788         1262            0          367         1870          393       295148        43504           bba2      6000    h264     480      360      25      42000     41.932   no   HTTP/3.0      0.000      0.227     27.651       1066.964          0.173
         9         6335         1544            0          464         1831          471       353518        47957           bba2      6000    h264     854      480      25      48000     42.356   no   HTTP/3.0      0.000      0.222     27.882       1434.074          0.206
        10         8138         1801            0          555         1880          564       423422        52155           bba2      6000    h264     854      480      25      54000     42.195   no   HTTP/3.0      0.000      0.220     28.129       1898.328          0.241
        11        18941        10801            0          646          367          660       495507        47353           bba2      6000    h264     854      480      25      60000     42.448   no   HTTP/3.0      0.000      0.220     28.389       2453.640          0.278
        12        43381        24439            0          828          217          887       665757        28913           bba2      6000    h264    1024      576      25      66000    123.003   no   HTTP/3.0      0.000      0.206     28.719       3099.812          0.323
        13        51955         8572            0         1008          742         1060       795053        26339           bba2      6000    h264    1024      576      25      72000     44.081   no   HTTP/3.0      0.000      0.187     29.095       3928.680          0.376
        14        81524        29566         3229          828          175          866       649597         6000           bba2      6000    h264    1024      576      25      78000    124.971   no   HTTP/3.0      0.000      0.215     31.665      14264.434        -20.126
        15        83677         2150            0          646         1876          672       504178         9848           bba2      6000    h264     854      480      25      84000     45.214   no   HTTP/3.0      0.000      0.249     31.718      14727.910        -20.149
        16        85561         1882            0          555         1878          589       441906        13964           bba2      6000    h264     854      480      25      90000     45.464   no   HTTP/3.0      0.000      0.277     29.499       5505.362          0.433
