     Seg_#     Arr_time     Del_Time    Stall_Dur    Rep_Level     Del_Rate     Act_Rate    Byte_Size   Buff_Level      Algorithm   Seg_Dur   Codec   Width   Height     FPS   Play_Pos        RTT   Seg_Repl   Protocol     P.1203       Clae     Duanmu            Yin             Yu
         1          167          166            0           45         1566           43        32510         6000    bba2XL-base      6000    h264     320      240      24          0     42.773   no   HTTP/3.0      0.000      0.000     40.519     -17954.486          0.046
         2          348          180            0           45         1654           49        37224        12000    bba2XL-base      6000    h264     320      240      24       6000     42.578   no   HTTP/3.0      0.000      0.237     26.719     -35908.972          0.046
         3          683          333            0           89         1626           90        67703        17666    bba2XL-base      6000    h264     320      240      24      12000     42.715   no   HTTP/3.0      0.000      0.214     26.851        136.542          0.060
         4         1105          421            0          128         1453          102        76510        23244    bba2XL-base      6000    h264     320      240      24      18000     44.308   no   HTTP/3.0      0.000      0.214     26.969        225.578          0.077
         5         1716          609            0          176         1822          185       138752        28634    bba2XL-base      6000    h264     480      360      24      24000     44.058   no   HTTP/3.0      0.000      0.214     27.110        353.834          0.097
         6         2465          747            0          217         1836          228       171438        33886    bba2XL-base      6000    h264     480      360      24      30000     43.939   no   HTTP/3.0      0.000      0.219     27.250        530.661          0.117
         7         3436          970            0          255         1850          299       224351        38915    bba2XL-base      6000    h264     480      360      24      36000     44.225   no   HTTP/3.0      0.000      0.227     27.387        748.312          0.137
         8         4666         1227            0          320         1861          380       285538        43686    bba2XL-base      6000    h264     480      360      24      42000     44.336   no   HTTP/3.0      0.000      0.230     27.551       1003.481          0.160
         9         6203         1537            0          373         1869          478       359129        48149    bba2XL-base      6000    h264     480      360      24      48000     43.607   no   HTTP/3.0      0.000      0.234     27.718       1324.045          0.184
        10         7493         1289            0          506         1862          400       300159        52859    bba2XL-base      6000    h264     854      480      24      54000     43.992   no   HTTP/3.0      0.000      0.224     27.951       1697.980          0.216
        11         9047         1552            0          573         1867          483       362319        57306    bba2XL-base      6000    h264     854      480      24      60000     44.351   no   HTTP/3.0      0.000      0.223     28.180       2204.280          0.248
        12        40370        31322            0          779          152          794       596148        31983    bba2XL-base      6000    h264    1280      720      24      66000     43.999   no   HTTP/3.0      0.000      0.200     28.500       2777.532          0.293
        13        46746         6373            0         1006          948         1006       755233        31608    bba2XL-base      6000    h264    1280      720      24      72000     44.393   no   HTTP/3.0      0.000      0.165     28.894       3557.328          0.348
        14        66463         3698            0           45           81           50        37678        17891    bba2XL-base      6000    h264     320      240      24      78000    618.847   no   HTTP/3.0      0.000      0.134     28.794       2641.613          0.326
        15        69328         2863            0           45           94           45        33875        21026    bba2XL-base      6000    h264     320      240      24      84000    115.390   no   HTTP/3.0      0.000      0.110     28.663       2687.127          0.307
        16        74499         5171            0           89           94           81        61188        21855    bba2XL-base      6000    h264     320      240      24      90000    117.606   no   HTTP/3.0      0.000      0.098     28.562       2732.641          0.294
