     Seg_#     Arr_time     Del_Time    Stall_Dur    Rep_Level     Del_Rate     Act_Rate    Byte_Size   Buff_Level      Algorithm   Seg_Dur   Codec   Width   Height     FPS   Play_Pos        RTT   Seg_Repl   Protocol     P.1203       Clae     Duanmu            Yin             Yu
         1          166          165            0           45         1576           43        32510         6000   bba2XL-double      6000    h264     320      240      24          0     43.275   no   HTTP/3.0      0.000      0.000     40.519     -17954.486          0.046
         2          347          180            0           45         1654           49        37224        12000   bba2XL-double      6000    h264     320      240      24       6000     42.458   no   HTTP/3.0      0.000      0.237     26.719     -35908.972          0.046
         3          659          309            0           89         1752           90        67703        17689   bba2XL-double      6000    h264     320      240      24      12000     44.505   no   HTTP/3.0      0.000      0.214     26.851        136.542          0.060
         4         1006          346            0          128         1769          102        76510        23342   bba2XL-double      6000    h264     320      240      24      18000     44.941   no   HTTP/3.0      0.000      0.214     26.969        225.578          0.077
         5         1615          607            0          176         1828          185       138752        28734   bba2XL-double      6000    h264     480      360      24      24000     44.965   no   HTTP/3.0      0.000      0.214     27.110        353.834          0.097
         6         2361          744            0          217         1843          228       171438        33989   bba2XL-double      6000    h264     480      360      24      30000     44.339   no   HTTP/3.0      0.000      0.219     27.250        530.661          0.117
         7         3328          966            0          255         1857          299       224351        39022   bba2XL-double      6000    h264     480      360      24      36000     45.439   no   HTTP/3.0      0.000      0.227     27.387        748.312          0.137
         8         4553         1224            0          320         1866          380       285538        43798   bba2XL-double      6000    h264     480      360      24      42000     44.222   no   HTTP/3.0      0.000      0.230     27.551       1003.481          0.160
         9         6089         1534            0          373         1872          478       359129        48263   bba2XL-double      6000    h264     480      360      24      48000     45.159   no   HTTP/3.0      0.000      0.234     27.718       1324.045          0.184
        10         7383         1291            0          506         1860          400       300159        52969   bba2XL-double      6000    h264     854      480      24      54000     44.979   no   HTTP/3.0      0.000      0.224     27.951       1697.980          0.216
        11         8932         1547            0          573         1873          483       362319        57421   bba2XL-double      6000    h264     854      480      24      60000     44.959   no   HTTP/3.0      0.000      0.223     28.180       2204.280          0.248
        12        40262        31329            0          779          152          794       596148        32091   bba2XL-double      6000    h264    1280      720      24      66000     44.687   no   HTTP/3.0      0.000      0.200     28.500       2777.532          0.293
        13        46615         6350            0         1006          951         1006       755233        31739   bba2XL-double      6000    h264    1280      720      24      72000     45.098   no   HTTP/3.0      0.000      0.165     28.894       3557.328          0.348
        14        64121         3649            0           45           82           50        37678        20233   bba2XL-double      6000    h264     320      240      24      78000    596.358   no   HTTP/3.0      0.000      0.134     28.794       2641.613          0.326
        15        69384         5260            0           89           95           83        62508        20971   bba2XL-double      6000    h264     320      240      24      84000    120.860   no   HTTP/3.0      0.000      0.119     28.677       2687.127          0.310
