     Seg_#     Arr_time     Del_Time    Stall_Dur    Rep_Level     Del_Rate     Act_Rate    Byte_Size   Buff_Level      Algorithm   Seg_Dur   Codec   Width   Height     FPS   Play_Pos        RTT   Seg_Repl   Protocol     P.1203       Clae     Duanmu            Yin             Yu
         1          138          138            0           45         1168           40        20153         4000   bba2XL-double      4000    h264     320      240      24          0     42.819   no   HTTP/3.0      0.000      0.000     45.121     -11954.209          0.046
         2          269          130            0           45         1511           49        24566         8000   bba2XL-double      4000    h264     320      240      24       4000     41.685   no   HTTP/3.0      0.000      0.234     35.921     -23908.418          0.046
         3          503          233            0           89         1665           97        48522        11766   bba2XL-double      4000    h264     320      240      24       8000     42.823   no   HTTP/3.0      0.000      0.212     36.054        137.373          0.060
         4          833          328            0          129         1764          144        72355        15437   bba2XL-double      4000    h264     320      240      24      12000     44.277   no   HTTP/3.0      0.000      0.212     36.173        227.262          0.078
         5         1274          438            0          179         1795          196        98318        18996   bba2XL-double      4000    h264     480      360      24      16000     44.545   no   HTTP/3.0      0.000      0.212     36.317        356.688          0.098
         6         1782          506            0          220         1786          225       112982        22488   bba2XL-double      4000    h264     480      360      24      20000     44.283   no   HTTP/3.0      0.000      0.217     36.460        535.807          0.118
         7         2363          580            0          259         1804          261       130859        25907   bba2XL-double      4000    h264     480      360      24      24000     45.342   no   HTTP/3.0      0.000      0.224     36.600        756.550          0.139
         8         3204          840            0          323         1847          388       194036        29066   bba2XL-double      4000    h264     480      360      24      28000     44.706   no   HTTP/3.0      0.000      0.227     36.764       1015.729          0.162
         9         4283         1077            0          375         1860          501       250537        31988   bba2XL-double      4000    h264     480      360      24      32000     44.550   no   HTTP/3.0      0.000      0.232     36.931       1339.202          0.185
        10         5511         1226            0          516         1817          556       278487        34760   bba2XL-double      4000    h264     854      480      24      36000     44.339   no   HTTP/3.0      0.000      0.221     37.171       1715.054          0.219
        11         6991         1478            0          582         1855          685       342862        37281   bba2XL-double      4000    h264     854      480      24      40000     44.432   no   HTTP/3.0      0.000      0.220     37.404       2231.710          0.252
        12         8870         1877            0          792         1880          882       441159        39402   bba2XL-double      4000    h264    1280      720      24      44000     44.241   no   HTTP/3.0      0.000      0.198     37.730       2814.467          0.297
        13        38959         2607            0           45           73           47        23851        13313   bba2XL-double      4000    h264     320      240      24      48000    716.818   no   HTTP/3.0      0.000      0.170     37.637       2113.560          0.277
        14        40055         1095            0           89          345           94        47264        16218   bba2XL-double      4000    h264     320      240      24      52000    129.311   no   HTTP/3.0      0.000      0.157     37.538       2159.351          0.264
        15        40678          621            0          129          945          146        73389        19596   bba2XL-double      4000    h264     320      240      24      56000     44.349   no   HTTP/3.0      0.000      0.154     37.471       2249.240          0.255
        16        41525          846            0          179          947          200       100192        22749   bba2XL-double      4000    h264     480      360      24      60000     44.137   no   HTTP/3.0      0.000      0.159     37.434       2378.666          0.250
        17        42534         1007            0          220          948          238       119400        25741   bba2XL-double      4000    h264     480      360      24      64000     43.971   no   HTTP/3.0      0.000      0.167     37.418       2557.785          0.249
        18        43730         1194            0          259          948          283       141571        28546   bba2XL-double      4000    h264     480      360      24      68000     44.519   no   HTTP/3.0      0.000      0.179     37.419       2778.528          0.249
        19        45054         1322            0          323          949          313       156877        31223   bba2XL-double      4000    h264     480      360      24      72000     43.171   no   HTTP/3.0      0.000      0.192     37.445       3037.707          0.253
        20        46591         1535            0          375          949          364       182170        33687   bba2XL-double      4000    h264     480      360      24      76000     44.449   no   HTTP/3.0      0.000      0.207     37.486       3361.180          0.259
        21        49028         2435            0          516          950          578       289374        35251   bba2XL-double      4000    h264     854      480      24      80000     44.377   no   HTTP/3.0      0.000      0.219     37.573       3737.032          0.271
        22        72560        23531            0          582          117          689       344503        15719   bba2XL-double      4000    h264     854      480      24      84000     43.989   no   HTTP/3.0      0.000      0.228     37.671       4253.688          0.286
        23        78249         1873            0           45           70           33        16564        14030   bba2XL-double      4000    h264     320      240      24      88000    598.165   no   HTTP/3.0      0.000      0.211     37.612       3762.513          0.275
        24        79901         1649            0           89          219           90        45202        16379   bba2XL-double      4000    h264     320      240      24      92000    121.295   no   HTTP/3.0      0.000      0.202     37.556       3808.304          0.267
