     Seg_#     Arr_time     Del_Time    Stall_Dur    Rep_Level     Del_Rate     Act_Rate    Byte_Size   Buff_Level      Algorithm   Seg_Dur   Codec   Width   Height     FPS   Play_Pos        RTT   Seg_Repl   Protocol     P.1203       Clae     Duanmu            Yin             Yu
         1          164          164            0           46         1644           44        33717         6000   bba2XL-double      6000    h264     320      240      25          0     41.432   no   HTTP/3.0      0.000      0.000     40.528     -17953.119          0.047
         2          285          119            0           46         1543           30        22954        12000   bba2XL-double      6000    h264     320      240      25       6000     42.785   no   HTTP/3.0      0.000      0.241     26.728     -35906.238          0.047
         3          608          322            0           92         1759           94        70826        17677   bba2XL-double      6000    h264     320      240      25      12000     43.490   no   HTTP/3.0      0.000      0.217     26.866        140.643          0.062
         4         1110          501            0          137         1783          148       111702        23175   bba2XL-double      6000    h264     320      240      25      18000     43.571   no   HTTP/3.0      0.000      0.215     26.999        232.953          0.081
         5         1759          647            0          186         1828          197       147916        28527   bba2XL-double      6000    h264     480      360      25      24000     45.496   no   HTTP/3.0      0.000      0.216     27.147        370.749          0.102
         6         2580          819            0          232         1798          245       184119        33706   bba2XL-double      6000    h264     480      360      25      30000     44.434   no   HTTP/3.0      0.000      0.222     27.299        557.025          0.124
         7         3525          943            0          277         1856          291       218825        38761   bba2XL-double      6000    h264     480      360      25      36000     44.915   no   HTTP/3.0      0.000      0.229     27.452        789.428          0.146
         8         4791         1264            0          367         1868          393       295148        43495   bba2XL-double      6000    h264     480      360      25      42000     44.796   no   HTTP/3.0      0.000      0.227     27.651       1066.964          0.173
         9         6306         1512            0          464         1870          471       353518        47981   bba2XL-double      6000    h264     854      480      25      48000     45.116   no   HTTP/3.0      0.000      0.222     27.882       1434.074          0.206
        10         8126         1818            0          555         1863          564       423422        52161   bba2XL-double      6000    h264     854      480      25      54000     45.390   no   HTTP/3.0      0.000      0.220     28.129       1898.328          0.241
        11        20394        12266            0          646          323          660       495507        45893   bba2XL-double      6000    h264     854      480      25      60000     44.894   no   HTTP/3.0      0.000      0.220     28.389       2453.640          0.278
        12        43458        23060            0          828          230          887       665757        28830   bba2XL-double      6000    h264    1024      576      25      66000    124.413   no   HTTP/3.0      0.000      0.206     28.719       3099.812          0.323
        13        53721        10261            0         1008          619         1060       795053        24567   bba2XL-double      6000    h264    1024      576      25      72000     49.449   no   HTTP/3.0      0.000      0.187     29.095       3928.680          0.376
        14        65496         3661            0           46           78           47        35844        18793   bba2XL-double      6000    h264     320      240      25      78000    754.936   no   HTTP/3.0      0.000      0.150     28.981       3013.460          0.353
        15        68477         2978            0           46           95           47        35381        21813   bba2XL-double      6000    h264     320      240      25      84000    121.088   no   HTTP/3.0      0.000      0.121     28.838       3060.341          0.332
