     Seg_#     Arr_time     Del_Time    Stall_Dur    Rep_Level     Del_Rate     Act_Rate    Byte_Size   Buff_Level      Algorithm   Seg_Dur   Codec   Width   Height     FPS   Play_Pos        RTT   Seg_Repl   Protocol     P.1203       Clae     Duanmu            Yin             Yu
         1          110          107            0           45         1506           40        20153         4000    bba2XL-base      4000    h264     320      240      24          0     42.924   no   HTTP/3.0      0.000      0.000     45.121     -11954.209          0.046
         2          237          126            0           45         1559           49        24566         8000    bba2XL-base      4000    h264     320      240      24       4000     42.873   no   HTTP/3.0      0.000      0.234     35.921     -23908.418          0.046
         3          492          254            0           89         1528           97        48522        11745    bba2XL-base      4000    h264     320      240      24       8000     42.832   no   HTTP/3.0      0.000      0.212     36.054        137.373          0.060
         4          826          332            0          129         1743          144        72355        15412    bba2XL-base      4000    h264     320      240      24      12000     42.364   no   HTTP/3.0      0.000      0.212     36.173        227.262          0.078
         5         1260          434            0          179         1812          196        98318        18978    bba2XL-base      4000    h264     480      360      24      16000     40.652   no   HTTP/3.0      0.000      0.212     36.317        356.688          0.098
         6         1759          497            0          220         1818          225       112982        22480    bba2XL-base      4000    h264     480      360      24      20000     42.431   no   HTTP/3.0      0.000      0.217     36.460        535.807          0.118
         7         2335          575            0          259         1820          261       130859        25904    bba2XL-base      4000    h264     480      360      24      24000     42.406   no   HTTP/3.0      0.000      0.224     36.600        756.550          0.139
         8         3174          838            0          323         1852          388       194036        29066    bba2XL-base      4000    h264     480      360      24      28000     42.389   no   HTTP/3.0      0.000      0.227     36.764       1015.729          0.162
         9         4250         1074            0          375         1866          501       250537        31991    bba2XL-base      4000    h264     480      360      24      32000     42.031   no   HTTP/3.0      0.000      0.232     36.931       1339.202          0.185
        10         5444         1192            0          516         1869          556       278487        34798    bba2XL-base      4000    h264     854      480      24      36000     42.316   no   HTTP/3.0      0.000      0.221     37.171       1715.054          0.219
        11         6908         1462            0          582         1876          685       342862        37334    bba2XL-base      4000    h264     854      480      24      40000     42.048   no   HTTP/3.0      0.000      0.220     37.404       2231.710          0.252
        12         8793         1883            0          792         1874          882       441159        39449    bba2XL-base      4000    h264    1280      720      24      44000     43.848   no   HTTP/3.0      0.000      0.198     37.730       2814.467          0.297
        13        40218        31422            0         1016          154         1209       604895        12025    bba2XL-base      4000    h264    1280      720      24      48000     43.110   no   HTTP/3.0      0.000      0.166     38.126       3606.956          0.352
        14        43779         3560            0          792          951          846       423291        12464    bba2XL-base      4000    h264    1280      720      24      52000     43.708   no   HTTP/3.0      0.000      0.191     38.354       4175.917          0.384
        15        46706         2925            0          582          950          694       347377        13538    bba2XL-base      4000    h264     854      480      24      56000     44.975   no   HTTP/3.0      0.000      0.221     38.453       4548.942          0.397
        16        49227         2519            0          516          950          598       299222        15018    bba2XL-base      4000    h264     854      480      24      60000     44.136   no   HTTP/3.0      0.000      0.246     38.504       4999.497          0.404
        17        58097         8868            0          375          142          316       158305        10149    bba2XL-base      4000    h264     480      360      24      64000     45.742   no   HTTP/3.0      0.000      0.259     38.494       5234.545          0.403
        18        62647         2338            0           45           76           44        22490         9599    bba2XL-base      4000    h264     320      240      24      68000    559.391   no   HTTP/3.0      0.000      0.225     38.365       4950.275          0.383
        19        64708         2058            0           45           94           48        24284        11539    bba2XL-base      4000    h264     320      240      24      72000    125.581   no   HTTP/3.0      0.000      0.196     38.240       4996.066          0.365
        20        66840         2131            0           45           94           50        25262        13407    bba2XL-base      4000    h264     320      240      24      76000    119.912   no   HTTP/3.0      0.000      0.172     38.129       5041.857          0.349
        21        70899         4057            0           89           94           96        48175        13349    bba2XL-base      4000    h264     320      240      24      80000    119.399   no   HTTP/3.0      0.000      0.158     38.039       5087.648          0.337
        22        77001         6100            0          129           94          144        72436        11247    bba2XL-base      4000    h264     320      240      24      84000    123.003   no   HTTP/3.0      0.000      0.151     37.970       5177.537          0.327
        23        79804         2800            0           89          107           74        37482        12445    bba2XL-base      4000    h264     320      240      24      88000    119.741   no   HTTP/3.0      0.000      0.140     37.895       5227.889          0.317
        24        80075          270            0           45          648           43        21899        16174    bba2XL-base      4000    h264     320      240      24      92000     43.728   no   HTTP/3.0      0.000      0.126     37.814       5229.582          0.306
        25        80471          393            0           89         1008           99        49559        19779    bba2XL-base      4000    h264     320      240      24      96000     43.679   no   HTTP/3.0      0.000      0.118     37.751       5275.373          0.297
