     Seg_#     Arr_time     Del_Time    Stall_Dur    Rep_Level     Del_Rate     Act_Rate    Byte_Size   Buff_Level      Algorithm   Seg_Dur   Codec   Width   Height     FPS   Play_Pos        RTT   Seg_Repl   Protocol     P.1203       Clae     Duanmu            Yin             Yu
         1           77           77            0           46         1341           51        12908         2000    bba2XL-base      2000    h264     320      240      25          0     42.408   no   HTTP/3.0      0.000      0.000     49.727      -5953.222          0.047
         2          144           65            0           46         1229           39         9991         4000    bba2XL-base      2000    h264     320      240      25       2000     42.423   no   HTTP/3.0      0.000      0.240     45.127     -11906.444          0.047
         3          200           55            0           46         1178           32         8102         5944    bba2XL-base      2000    h264     320      240      25       4000     41.261   no   HTTP/3.0      0.000      0.240     45.127        140.334          0.047
         4          246           45            0           46          996           22         5603         7899    bba2XL-base      2000    h264     320      240      25       6000     41.296   no   HTTP/3.0      0.000      0.240     45.127        187.112          0.047
         5          376          129            0           91         1089           70        17566         9769    bba2XL-base      2000    h264     320      240      25       8000     42.284   no   HTTP/3.0      0.000      0.218     45.220        233.890          0.056
         6          551          173            0          134         1591          137        34415        11594    bba2XL-base      2000    h264     320      240      25      10000     42.661   no   HTTP/3.0      0.000      0.208     45.313        324.953          0.069
         7          771          219            0          185         1699          186        46525        13374    bba2XL-base      2000    h264     480      360      25      12000     42.986   no   HTTP/3.0      0.000      0.199     45.431        459.815          0.086
         8         1048          275            0          231         1739          239        59797        15098    bba2XL-base      2000    h264     480      360      25      14000     43.604   no   HTTP/3.0      0.000      0.196     45.559        645.571          0.104
         9         1372          322            0          276         1760          283        70875        16775    bba2XL-base      2000    h264     480      360      25      16000     44.149   no   HTTP/3.0      0.000      0.196     45.693        877.095          0.123
        10         1819          445            0          366         1801          400       100211        18329    bba2XL-base      2000    h264     480      360      25      18000     43.790   no   HTTP/3.0      0.000      0.188     45.869       1154.094          0.147
        11         2377          557            0          462         1823          507       126980        19771    bba2XL-base      2000    h264     854      480      25      20000     44.195   no   HTTP/3.0      0.000      0.178     46.073       1520.516          0.176
        12         3022          643            0          553         1832          589       147314        21126    bba2XL-base      2000    h264     854      480      25      22000     44.453   no   HTTP/3.0      0.000      0.170     46.296       1982.588          0.207
        13         3772          748            0          643         1843          689       172399        22377    bba2XL-base      2000    h264     854      480      25      24000     44.039   no   HTTP/3.0      0.000      0.164     46.533       2535.670          0.241
        14         4734          960            0          824         1846          886       221634        23416    bba2XL-base      2000    h264    1024      576      25      26000     48.820   no   HTTP/3.0      0.000      0.145     46.833       3179.328          0.283
        15         5922         1186            0         1005         1818         1078       269521        24229    bba2XL-base      2000    h264    1024      576      25      28000     44.405   no   HTTP/3.0      0.000      0.121     47.177       4003.829          0.331
        16         7403         1479            0         1267         1872         1385       346267        24748    bba2XL-base      2000    h264    1024      576      25      30000     44.243   no   HTTP/3.0      0.000      0.083     47.597       5009.565          0.389
        17         9217         1810            0         1519         1840         1665       416320        24935    bba2XL-base      2000    h264    1024      576      25      32000     44.331   no   HTTP/3.0      0.000      0.042     48.070       6277.379          0.456
        18        29785         1626            0           46           59           48        12157         6367    bba2XL-base      2000    h264     320      240      25      34000    719.218   no   HTTP/3.0      0.000      0.014     47.979       4851.496          0.433
        19        30785          995            0           46           94           47        11779         7367    bba2XL-base      2000    h264     320      240      25      36000    119.265   no   HTTP/3.0      0.000      0.000     47.837       4898.274          0.413
        20        32821         2034            0           91           94           96        24114         7332    bba2XL-base      2000    h264     320      240      25      38000    122.437   no   HTTP/3.0      0.000      0.000     47.717       4945.052          0.397
        21        34896         2074            0           91           95           98        24629         7257    bba2XL-base      2000    h264     320      240      25      40000    121.569   no   HTTP/3.0      0.000      0.000     47.615       5036.115          0.382
        22        36986         2089            0           91           94           98        24742         7168    bba2XL-base      2000    h264     320      240      25      42000    123.338   no   HTTP/3.0      0.000      0.000     47.522       5127.178          0.369
        23        39071         2083            0           91           94           98        24726         7084    bba2XL-base      2000    h264     320      240      25      44000    121.762   no   HTTP/3.0      0.000      0.000     47.438       5218.241          0.357
        24        39674          601            0           46          165           49        12469         8481    bba2XL-base      2000    h264     320      240      25      46000    121.344   no   HTTP/3.0      0.000      0.000     47.340       5220.734          0.344
        25        39913          238            0           91          760           90        22633        10243    bba2XL-base      2000    h264     320      240      25      48000     42.707   no   HTTP/3.0      0.000      0.000     47.264       5267.512          0.334
        26        40224          310            0          134          939          145        36392        11932    bba2XL-base      2000    h264     320      240      25      50000     44.471   no   HTTP/3.0      0.000      0.000     47.205       5358.575          0.326
        27        40631          405            0          185          941          190        47640        13526    bba2XL-base      2000    h264     480      360      25      52000     44.835   no   HTTP/3.0      0.000      0.000     47.164       5493.437          0.321
        28        41162          529            0          231          944          249        62438        14996    bba2XL-base      2000    h264     480      360      25      54000     44.854   no   HTTP/3.0      0.000      0.000     47.137       5679.193          0.318
        29        41735          571            0          276          944          269        67438        16423    bba2XL-base      2000    h264     480      360      25      56000     43.975   no   HTTP/3.0      0.000      0.000     47.123       5910.717          0.316
        30        42534          798            0          366          922          368        92030        17624    bba2XL-base      2000    h264     480      360      25      58000     44.889   no   HTTP/3.0      0.000      0.000     47.133       6187.716          0.318
        31        43514          977            0          462          946          462       115646        18645    bba2XL-base      2000    h264     854      480      25      60000     45.881   no   HTTP/3.0      0.000      0.000     47.164       6554.138          0.323
        32        44685         1169            0          553          949          554       138675        19474    bba2XL-base      2000    h264     854      480      25      62000     44.640   no   HTTP/3.0      0.000      0.005     47.212       7016.210          0.330
        33        46048         1360            0          643          949          645       161380        20112    bba2XL-base      2000    h264     854      480      25      64000     44.358   no   HTTP/3.0      0.000      0.023     47.277       7569.292          0.339
